temperature,humidity,hour,is_weekend,consumption
20.0,63,20,0,593.42
13.6,68,23,0,599.75
21.5,94,14,0,651.72
30.2,80,21,0,658.6
12.7,86,3,0,563.55
12.7,25,12,0,479.51
30.8,28,22,0,871.8
22.7,25,7,0,859.04
10.3,92,17,0,572.17
20.4,51,11,1,765.71
10.4,60,22,1,551.73
10.3,95,13,0,570.33
17.4,27,1,0,645.51
-4.1,91,17,0,496.04
-2.2,69,23,0,632.69
9.4,81,1,0,667.84
4.9,81,10,0,775.24
18.1,26,8,0,534.45
5.9,94,11,0,672.22
0.9,99,16,0,552.51
29.7,23,14,1,684.37
12.7,25,16,1,546.03
15.7,77,17,0,892.47
0.8,41,21,0,510.1
9.6,45,5,1,592.04
16.1,22,16,1,624.55
3.5,60,22,0,621.94
18.8,79,23,0,675.54
9.0,33,17,0,648.41
12.1,94,7,0,764.44
9.0,31,8,0,430.87
33.5,31,5,0,606.58
14.9,32,4,0,480.7
4.4,44,11,0,795.14
23.2,64,10,1,655.08
2.8,38,0,0,601.75
17.1,74,10,0,589.59
-4.6,64,18,0,459.69
1.7,27,8,0,355.69
17.0,72,1,1,463.44
22.4,74,11,0,903.12
16.7,51,3,0,350.7
13.8,70,3,1,699.98
12.0,63,17,0,672.88
0.2,89,14,1,716.55
7.8,37,18,0,448.35
10.4,41,12,0,656.92
25.6,56,18,0,939.18
18.4,75,16,0,669.26
-2.6,78,5,1,585.95
18.2,22,15,1,450.79
11.1,47,23,0,877.23
8.2,93,11,0,531.96
21.1,54,18,1,687.7
25.3,80,4,1,818.64
24.3,73,16,0,801.41
6.6,82,22,0,664.43
11.9,98,0,0,587.37
18.3,26,23,1,649.34
24.8,95,22,0,1026.28
10.2,68,9,0,545.2
13.1,50,14,1,744.72
3.9,77,22,0,687.61
3.0,80,20,0,819.67
23.1,43,20,0,688.43
28.6,39,10,0,938.08
14.3,56,12,0,517.15
25.0,23,4,0,542.95
18.6,39,0,0,480.73
8.5,79,23,0,548.64
18.6,43,11,1,582.27
30.4,69,10,1,458.32
14.6,68,16,0,901.7
30.6,70,3,0,905.5
-10.0,55,14,0,370.82
23.2,85,8,0,671.51
15.9,98,20,0,971.86
12.0,53,19,0,698.98
15.9,55,18,0,591.7
-4.9,25,18,0,525.4
12.8,58,11,0,782.72
18.6,61,4,0,562.1
29.8,77,9,0,530.89
9.8,31,16,0,519.76
6.9,22,4,0,628.75
10.0,37,21,1,677.08
24.2,59,15,1,827.59
18.3,40,6,0,507.8
9.7,34,8,0,654.34
20.1,45,2,0,791.41
16.0,27,14,0,676.81
24.7,61,15,0,802.82
8.0,63,17,1,708.27
11.7,33,13,0,539.49
11.1,97,2,1,725.79
0.4,21,11,0,569.94
18.0,56,8,0,852.52
17.6,88,6,1,645.85
15.1,57,8,0,625.56
12.7,60,12,0,850.29
0.8,81,17,0,453.53
10.8,79,4,0,523.61
11.6,33,12,1,624.64
7.0,21,3,0,714.71
13.4,89,1,1,600.89
19.0,36,15,1,691.22
33.9,47,8,1,371.89
16.7,85,8,0,651.07
17.6,54,5,0,855.11
14.3,24,10,1,659.34
-4.2,84,21,0,492.92
14.7,59,23,0,592.26
15.6,95,21,0,795.44
39.6,75,0,0,507.9
13.1,55,3,0,834.8
18.0,64,12,0,562.24
14.7,42,22,0,717.71
3.3,66,12,1,517.02
