temperature,humidity,season,hour,district_type,is_weekend,consumption
20.0,63,Winter,20,Commercial,0,593.42
13.6,68,Summer,23,Residential,0,599.75
21.5,94,Summer,14,Residential,0,651.72
30.2,80,Autumn,21,Residential,0,658.6
12.7,86,Autumn,3,Residential,0,563.55
12.7,25,Spring,12,Residential,0,479.51
30.8,28,Autumn,22,Commercial,0,871.8
22.7,25,Autumn,7,Industrial,0,859.04
10.3,92,Autumn,17,Residential,0,572.17
20.4,51,Autumn,11,Commercial,1,765.71
10.4,60,Winter,22,Residential,1,551.73
10.3,95,Autumn,13,Residential,0,570.33
17.4,27,Winter,1,Industrial,0,645.51
-4.1,91,Winter,17,Residential,0,496.04
-2.2,69,Autumn,23,Commercial,0,632.69
9.4,81,Summer,1,Commercial,0,667.84
4.9,81,Winter,10,Industrial,0,775.24
18.1,26,Summer,8,Residential,0,534.45
5.9,94,Summer,11,Commercial,0,672.22
0.9,99,Autumn,16,Residential,0,552.51
29.7,23,Spring,14,Residential,1,684.37
12.7,25,Autumn,16,Residential,1,546.03
15.7,77,Spring,17,Industrial,0,892.47
0.8,41,Spring,21,Residential,0,510.1
9.6,45,Autumn,5,Commercial,1,592.04
16.1,22,Autumn,16,Residential,1,624.55
3.5,60,Spring,22,Commercial,0,621.94
18.8,79,Autumn,23,Residential,0,675.54
9.0,33,Spring,17,Commercial,0,648.41
12.1,94,Summer,7,Commercial,0,764.44
9.0,31,Autumn,8,Residential,0,430.87
33.5,31,Summer,5,Residential,0,606.58
14.9,32,Winter,4,Commercial,0,480.7
4.4,44,Summer,11,Industrial,0,795.14
23.2,64,Summer,10,Residential,1,655.08
2.8,38,Spring,0,Industrial,0,601.75
17.1,74,Summer,10,Residential,0,589.59
-4.6,64,Autumn,18,Residential,0,459.69
1.7,27,Spring,8,Residential,0,355.69
17.0,72,Winter,1,Residential,1,463.44
22.4,74,Autumn,11,Industrial,0,903.12
16.7,51,Winter,3,Residential,0,350.7
13.8,70,Summer,3,Commercial,1,699.98
12.0,63,Autumn,17,Commercial,0,672.88
0.2,89,Autumn,14,Industrial,1,716.55
7.8,37,Winter,18,Residential,0,448.35
10.4,41,Autumn,12,Commercial,0,656.92
25.6,56,Autumn,18,Industrial,0,939.18
18.4,75,Autumn,16,Residential,0,669.26
-2.6,78,Summer,5,Commercial,1,585.95
18.2,22,Winter,15,Commercial,1,450.79
11.1,47,Autumn,23,Industrial,0,877.23
8.2,93,Spring,11,Residential,0,531.96
21.1,54,Spring,18,Residential,1,687.7
25.3,80,Spring,4,Commercial,1,818.64
24.3,73,Spring,16,Commercial,0,801.41
6.6,82,Summer,22,Commercial,0,664.43
11.9,98,Autumn,0,Residential,0,587.37
18.3,26,Winter,23,Industrial,1,649.34
24.8,95,Autumn,22,Industrial,0,1026.28
10.2,68,Summer,9,Residential,0,545.2
13.1,50,Spring,14,Industrial,1,744.72
3.9,77,Summer,22,Commercial,0,687.61
3.0,80,Autumn,20,Industrial,0,819.67
23.1,43,Winter,20,Industrial,0,688.43
28.6,39,Summer,10,Industrial,0,938.08
14.3,56,Winter,12,Commercial,0,517.15
25.0,23,Summer,4,Residential,0,542.95
18.6,39,Winter,0,Commercial,0,480.73
8.5,79,Winter,23,Residential,0,548.64
18.6,43,Spring,11,Residential,1,582.27
30.4,69,Winter,10,Residential,1,458.32
14.6,68,Spring,16,Industrial,0,901.7
30.6,70,Autumn,3,Industrial,0,905.5
-10.0,55,Autumn,14,Residential,0,370.82
23.2,85,Spring,8,Residential,0,671.51
15.9,98,Spring,20,Industrial,0,971.86
12.0,53,Summer,19,Commercial,0,698.98
15.9,55,Summer,18,Residential,0,591.7
-4.9,25,Summer,18,Commercial,0,525.4
12.8,58,Autumn,11,Industrial,0,782.72
18.6,61,Summer,4,Residential,0,562.1
29.8,77,Winter,9,Commercial,0,530.89
9.8,31,Winter,16,Commercial,0,519.76
6.9,22,Summer,4,Commercial,0,628.75
10.0,37,Winter,21,Industrial,1,677.08
24.2,59,Autumn,15,Industrial,1,827.59
18.3,40,Winter,6,Commercial,0,507.8
9.7,34,Autumn,8,Commercial,0,654.34
20.1,45,Spring,2,Industrial,0,791.41
16.0,27,Spring,14,Commercial,0,676.81
24.7,61,Spring,15,Commercial,0,802.82
8.0,63,Spring,17,Industrial,1,708.27
11.7,33,Winter,13,Commercial,0,539.49
11.1,97,Summer,2,Commercial,1,725.79
0.4,21,Winter,11,Commercial,0,569.94
18.0,56,Autumn,8,Industrial,0,852.52
17.6,88,Winter,6,Commercial,1,645.85
15.1,57,Winter,8,Industrial,0,625.56
12.7,60,Autumn,12,Industrial,0,850.29
0.8,81,Spring,17,Residential,0,453.53
10.8,79,Spring,4,Residential,0,523.61
11.6,33,Spring,12,Commercial,1,624.64
7.0,21,Summer,3,Industrial,0,714.71
