Experience,Grade,EnglishLevel,Age,EntryTestScore,Accepted
3,8.2,Elementary,25,823,0
4,11.6,Beginner,26,574,0
2,11.8,Advanced,23,912,1
4,7.7,Intermediate,28,343,0
4,7.8,Intermediate,24,316,0
1,8.9,Upper-Intermediate,18,629,0
2,8.7,Beginner,22,868,0
2,12.0,Advanced,22,796,1
2,7.1,Intermediate,27,311,0
4,6.1,Beginner,21,617,0
3,9.0,Intermediate,23,891,0
2,7.1,Upper-Intermediate,24,515,0
5,8.2,Intermediate,26,638,0
4,10.5,Advanced,18,960,1
1,10.3,Intermediate,23,380,0
3,7.8,Upper-Intermediate,24,784,0
5,9.3,Intermediate,20,673,1
5,9.1,Advanced,25,499,0
1,9.8,Intermediate,22,836,0
3,7.5,Beginner,26,765,0
4,9.5,Elementary,22,388,0
0,11.9,Beginner,26,567,0
3,8.9,Beginner,27,954,0
1,11.4,Beginner,21,870,0
5,8.6,Intermediate,26,788,0
4,8.1,Intermediate,22,837,0
3,9.9,Upper-Intermediate,27,346,0
0,10.0,Advanced,26,587,0
0,11.2,Intermediate,20,315,0
2,7.4,Upper-Intermediate,21,700,0
2,9.0,Advanced,26,385,0
1,9.4,Intermediate,27,549,0
3,10.6,Elementary,28,690,0
3,6.3,Beginner,23,634,0
5,12.0,Beginner,19,928,1
5,8.8,Beginner,24,818,0
5,7.7,Elementary,19,436,0
2,11.3,Advanced,28,987,1
3,10.5,Upper-Intermediate,19,797,1
3,11.7,Elementary,28,776,1
0,8.0,Beginner,18,893,0
2,9.3,Beginner,28,522,0
4,9.4,Intermediate,28,671,0
2,11.9,Intermediate,29,701,1
4,6.5,Upper-Intermediate,28,742,0
0,7.8,Intermediate,20,789,0
1,7.1,Advanced,23,914,0
3,7.6,Upper-Intermediate,25,572,0
0,8.9,Elementary,26,825,0
3,8.2,Upper-Intermediate,24,458,0
5,8.4,Intermediate,21,451,0
1,11.1,Intermediate,23,919,1
1,11.6,Intermediate,22,487,0
0,6.4,Advanced,25,397,0
1,7.3,Intermediate,18,430,0
4,10.0,Upper-Intermediate,18,470,1
1,8.2,Advanced,28,482,0
3,7.5,Intermediate,23,663,0
3,7.8,Upper-Intermediate,27,338,0
3,7.9,Intermediate,29,826,0
3,11.1,Intermediate,19,796,1
4,6.8,Intermediate,22,815,0
2,10.3,Beginner,18,648,0
5,9.3,Advanced,24,696,1
0,7.8,Intermediate,18,460,0
3,8.5,Intermediate,21,315,0
1,7.5,Upper-Intermediate,26,792,0
3,9.7,Elementary,18,725,0
1,6.5,Intermediate,21,407,0
5,6.0,Intermediate,23,749,0
5,9.8,Advanced,23,610,1
5,7.2,Intermediate,29,469,0
1,6.4,Upper-Intermediate,25,845,0
3,8.4,Advanced,18,713,0
5,6.3,Beginner,24,550,0
4,11.3,Beginner,18,440,0
1,6.2,Intermediate,24,573,0
1,9.5,Intermediate,20,715,0
3,8.6,Elementary,28,907,0
1,10.0,Intermediate,25,338,0
1,8.0,Intermediate,20,328,0
5,6.9,Intermediate,18,776,0
3,11.9,Intermediate,25,617,1
5,11.0,Intermediate,20,544,1
5,11.2,Intermediate,19,996,1
3,7.5,Intermediate,18,571,0
0,6.2,Beginner,20,739,0
5,7.8,Intermediate,19,538,0
4,9.2,Intermediate,19,676,0
4,8.0,Upper-Intermediate,23,565,0
